review_id,date,comment
1,2025-01-15,Love the app! Transfers are instant and the UI is clean.
2,2025-01-18,Can't log in after the last update—says 'session expired' every time.
3,2025-01-20,Please add biometric login. Typing my password on the bus is annoying.
4,2025-01-22,Fees are too high for international transfers. Competitors are cheaper.
5,2025-01-24,Best banking app I've used. Notifications are on point.
6,2025-01-26,Login keeps failing. Support said clear cache but it didn't help.
7,2025-01-28,Would be great to have spending categories and monthly budgets.
8,2025-01-30,"App crashes when I open statements. Using it for 6 months, started last week."
9,2025-02-01,Quick balance check and pay bills in seconds. No complaints.
10,2025-02-03,Why do I pay €5/month for this when basic features are missing?
11,2025-02-05,Face ID works 50% of the time. Often falls back to password.
12,2025-02-07,Card controls (freeze/unfreeze) are super useful. More of this please.
13,2025-02-09,Logged me out randomly and had to reset password. Very frustrating.
14,2025-02-11,Add dark mode. Using it at night is harsh on the eyes.
15,2025-02-13,Interest rates on savings are a joke compared to others.
16,2025-02-15,Smooth experience overall. Only wish there was a desktop version.
17,2025-02-17,Login with fingerprint fails after phone restart. Known bug?
18,2025-02-19,"Request: let me nickname my accounts (e.g. 'Rent', 'Fun money')."
19,2025-02-21,App is fine but subscription price went up with no new features.
20,2025-02-23,Support was fast and fixed my login issue. Happy customer.
21,2025-02-25,Need export to CSV for my accounts. For taxes and budgeting.
22,2025-02-27,Sometimes stuck on loading after login. Have to force close.
23,2025-03-01,Bill splitting with friends would be a game changer.
24,2025-03-03,"Free for basic use, premium is overpriced for what you get."
25,2025-03-05,Clean design and no ads. Refreshing for a banking app.
26,2025-03-07,Two-factor is a pain—codes often arrive late or not at all.
27,2025-03-09,Would love recurring transfers and standing orders from the app.
28,2025-03-11,Crashed during a transfer. Money left my account but recipient didn't get it. Took 3 days to resolve.
29,2025-03-13,Best part is instant notifications. I always know when money moves.
30,2025-03-15,Login page sometimes doesn't load. Only works after 2–3 tries.
31,2025-03-17,Add joint accounts and shared goals. Me and my partner would use it.
32,2025-03-19,Monthly fee for 'premium' when other banks offer same for free. Rethink pricing.
33,2025-03-21,Simple and reliable. Been using it for a year with no major issues.
34,2025-03-23,Password reset link expires too quickly. Had to request it twice.
35,2025-03-25,Request: round-up purchases to nearest euro and save the difference.
36,2025-03-27,App is good but too many upsells for insurance and loans.
37,2025-03-29,Login with Apple/Google would be great. One less password to remember.
38,2025-03-31,"No issues so far. Fast, clear, does what I need."
39,2025-04-02,"After update, login loop: enter PIN, then it asks again. Unusable."
40,2025-04-04,Please add widget for home screen with balance (with hide option).
41,2025-04-06,Fee for receiving international payments is unfair. Sender already paid.
42,2025-04-08,Card ordering and activation from the app is seamless. Big plus.
43,2025-04-10,Biometric works on iOS but not on my Android. Inconsistent.
44,2025-04-12,Would like scheduled payments—e.g. pay rent on the 1st automatically.
45,2025-04-14,Pricing is transparent. No hidden fees. App could be prettier but it works.
46,2025-04-16,Session timeout is too short. Logged out while reading my statement.
47,2025-04-18,Request: virtual cards for online shopping with custom limits.
48,2025-04-20,Premium tier doesn't justify the cost. Basic is enough for me.
49,2025-04-22,Reliable and fast. Only minor gripe is no in-app chat support.
50,2025-04-24,Login issues after changing phone. Account recovery took a week. Needs improvement.
51,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
52,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
53,2025-05-01,"Decent service overall, though there is room for improvement."
54,2025-05-01,I experienced several technical issues that made it frustrating to use.
55,2025-05-01,The product has potential but currently feels unfinished.
56,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
57,2025-05-01,I experienced several technical issues that made it frustrating to use.
58,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
59,2025-05-01,Customer support was slow to respond and not very helpful.
60,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
61,2025-05-01,"It does what it promises, but I think some features could be enhanced."
62,2025-05-01,Customer support was slow to respond and not very helpful.
63,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
64,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
65,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
66,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
67,2025-05-01,Super easy to use and very intuitive interface.
68,2025-05-01,The product has potential but currently feels unfinished.
69,2025-05-01,"It does what it promises, but I think some features could be enhanced."
70,2025-05-01,The product is fine for basic use cases.
71,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
72,2025-05-01,The product has potential but currently feels unfinished.
73,2025-05-01,Super easy to use and very intuitive interface.
74,2025-05-01,The product quality is great and delivers real value for the price.
75,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
76,2025-05-01,"Decent service overall, though there is room for improvement."
77,2025-05-01,Customer support was slow to respond and not very helpful.
78,2025-05-01,I experienced several technical issues that made it frustrating to use.
79,2025-05-01,The product has potential but currently feels unfinished.
80,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
81,2025-05-01,Customer support was slow to respond and not very helpful.
82,2025-05-01,"Decent service overall, though there is room for improvement."
83,2025-05-01,The product is fine for basic use cases.
84,2025-05-01,The product has potential but currently feels unfinished.
85,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
86,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
87,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
88,2025-05-01,Super easy to use and very intuitive interface.
89,2025-05-01,The product quality is great and delivers real value for the price.
90,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
91,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
92,2025-05-01,Not satisfied with the value for money. I expected better performance.
93,2025-05-01,The product has potential but currently feels unfinished.
94,2025-05-01,The product has potential but currently feels unfinished.
95,2025-05-01,The product is fine for basic use cases.
96,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
97,2025-05-01,Very satisfied with the service. The team was professional and efficient.
98,2025-05-01,Customer support was slow to respond and not very helpful.
99,2025-05-01,The product quality is great and delivers real value for the price.
100,2025-05-01,Super easy to use and very intuitive interface.
101,2025-05-01,"Decent service overall, though there is room for improvement."
102,2025-05-01,Customer support was slow to respond and not very helpful.
103,2025-05-01,The product is fine for basic use cases.
104,2025-05-01,The product has potential but currently feels unfinished.
105,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
106,2025-05-01,Not satisfied with the value for money. I expected better performance.
107,2025-05-01,"It does what it promises, but I think some features could be enhanced."
108,2025-05-01,The product has potential but currently feels unfinished.
109,2025-05-01,The product quality is great and delivers real value for the price.
110,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
111,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
112,2025-05-01,The product has potential but currently feels unfinished.
113,2025-05-01,Customer support was slow to respond and not very helpful.
114,2025-05-01,Very satisfied with the service. The team was professional and efficient.
115,2025-05-01,I experienced several technical issues that made it frustrating to use.
116,2025-05-01,Super easy to use and very intuitive interface.
117,2025-05-01,The product has potential but currently feels unfinished.
118,2025-05-01,Not satisfied with the value for money. I expected better performance.
119,2025-05-01,The product has potential but currently feels unfinished.
120,2025-05-01,The product is fine for basic use cases.
121,2025-05-01,Not satisfied with the value for money. I expected better performance.
122,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
123,2025-05-01,The product quality is great and delivers real value for the price.
124,2025-05-01,I experienced several technical issues that made it frustrating to use.
125,2025-05-01,Not satisfied with the value for money. I expected better performance.
126,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
127,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
128,2025-05-01,"It does what it promises, but I think some features could be enhanced."
129,2025-05-01,Customer support was slow to respond and not very helpful.
130,2025-05-01,Not satisfied with the value for money. I expected better performance.
131,2025-05-01,The product is fine for basic use cases.
132,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
133,2025-05-01,I experienced several technical issues that made it frustrating to use.
134,2025-05-01,Customer support was slow to respond and not very helpful.
135,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
136,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
137,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
138,2025-05-01,I experienced several technical issues that made it frustrating to use.
139,2025-05-01,Super easy to use and very intuitive interface.
140,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
141,2025-05-01,Not satisfied with the value for money. I expected better performance.
142,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
143,2025-05-01,Not satisfied with the value for money. I expected better performance.
144,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
145,2025-05-01,Customer support was slow to respond and not very helpful.
146,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
147,2025-05-01,"It does what it promises, but I think some features could be enhanced."
148,2025-05-01,The product has potential but currently feels unfinished.
149,2025-05-01,Not satisfied with the value for money. I expected better performance.
150,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
151,2025-05-01,"Decent service overall, though there is room for improvement."
152,2025-05-01,"It does what it promises, but I think some features could be enhanced."
153,2025-05-01,The product has potential but currently feels unfinished.
154,2025-05-01,The product has potential but currently feels unfinished.
155,2025-05-01,Customer support was slow to respond and not very helpful.
156,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
157,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
158,2025-05-01,The product is fine for basic use cases.
159,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
160,2025-05-01,The product is fine for basic use cases.
161,2025-05-01,The product is fine for basic use cases.
162,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
163,2025-05-01,The product quality is great and delivers real value for the price.
164,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
165,2025-05-01,The product quality is great and delivers real value for the price.
166,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
167,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
168,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
169,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
170,2025-05-01,The product quality is great and delivers real value for the price.
171,2025-05-01,Super easy to use and very intuitive interface.
172,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
173,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
174,2025-05-01,"Decent service overall, though there is room for improvement."
175,2025-05-01,"Decent service overall, though there is room for improvement."
176,2025-05-01,The product quality is great and delivers real value for the price.
177,2025-05-01,Very satisfied with the service. The team was professional and efficient.
178,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
179,2025-05-01,The product is fine for basic use cases.
180,2025-05-01,"It does what it promises, but I think some features could be enhanced."
181,2025-05-01,The product quality is great and delivers real value for the price.
182,2025-05-01,Super easy to use and very intuitive interface.
183,2025-05-01,The product quality is great and delivers real value for the price.
184,2025-05-01,Super easy to use and very intuitive interface.
185,2025-05-01,Very satisfied with the service. The team was professional and efficient.
186,2025-05-01,The product has potential but currently feels unfinished.
187,2025-05-01,The product quality is great and delivers real value for the price.
188,2025-05-01,"Decent service overall, though there is room for improvement."
189,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
190,2025-05-01,I experienced several technical issues that made it frustrating to use.
191,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
192,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
193,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
194,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
195,2025-05-01,Very satisfied with the service. The team was professional and efficient.
196,2025-05-01,I experienced several technical issues that made it frustrating to use.
197,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
198,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
199,2025-05-01,The product is fine for basic use cases.
200,2025-05-01,Customer support was slow to respond and not very helpful.
201,2025-05-01,Super easy to use and very intuitive interface.
202,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
203,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
204,2025-05-01,The product is fine for basic use cases.
205,2025-05-01,Super easy to use and very intuitive interface.
206,2025-05-01,The product is fine for basic use cases.
207,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
208,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
209,2025-05-01,The product has potential but currently feels unfinished.
210,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
211,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
212,2025-05-01,"Average experience. Not bad, but not particularly impressive either."
213,2025-05-01,"Decent service overall, though there is room for improvement."
214,2025-05-01,The product quality is great and delivers real value for the price.
215,2025-05-01,The product has potential but currently feels unfinished.
216,2025-05-01,The product has potential but currently feels unfinished.
217,2025-05-01,Very satisfied with the service. The team was professional and efficient.
218,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
219,2025-05-01,I was disappointed with the overall experience. It did not fully meet my expectations.
220,2025-05-01,The product quality is great and delivers real value for the price.
221,2025-05-01,The product quality is great and delivers real value for the price.
222,2025-05-01,Not satisfied with the value for money. I expected better performance.
223,2025-05-01,The product quality is great and delivers real value for the price.
224,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
225,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
226,2025-05-01,Super easy to use and very intuitive interface.
227,2025-05-01,Super easy to use and very intuitive interface.
228,2025-05-01,Customer support was slow to respond and not very helpful.
229,2025-05-01,The product is fine for basic use cases.
230,2025-05-01,Very satisfied with the service. The team was professional and efficient.
231,2025-05-01,I experienced several technical issues that made it frustrating to use.
232,2025-05-01,Very satisfied with the service. The team was professional and efficient.
233,2025-05-01,Not satisfied with the value for money. I expected better performance.
234,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
235,2025-05-01,The experience was okay. Nothing exceptional but it works as expected.
236,2025-05-01,The product has potential but currently feels unfinished.
237,2025-05-01,"Decent service overall, though there is room for improvement."
238,2025-05-01,Not satisfied with the value for money. I expected better performance.
239,2025-05-01,The product is fine for basic use cases.
240,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
241,2025-05-01,The product has potential but currently feels unfinished.
242,2025-05-01,I experienced several technical issues that made it frustrating to use.
243,2025-05-01,Super easy to use and very intuitive interface.
244,2025-05-01,Excellent experience overall. Everything worked smoothly and exceeded my expectations.
245,2025-05-01,Customer support was slow to respond and not very helpful.
246,2025-05-01,Super easy to use and very intuitive interface.
247,2025-05-01,Very satisfied with the service. The team was professional and efficient.
248,2025-05-01,"It does what it promises, but I think some features could be enhanced."
249,2025-05-01,I would definitely recommend this to others. It solved my problem effectively.
250,2025-05-01,The product is fine for basic use cases.
